SIZE,AVERAGE,BEST,WORST
638,98490,637,203203
73,1138,72,2628
432,48028,431,93096
839,185316,838,351541
152,6622,151,11476
56,882,55,1540
608,94439,607,184528
219,12013,218,23871
163,7311,162,13203
144,5220,143,10296
482,59689,481,115921
856,176156,855,365940
323,25998,322,52003
123,4002,122,7503
786,161539,785,308505
244,14459,243,29646
10,26,9,45
888,198027,887,393828
159,6495,158,12561
527,67510,526,138601
762,144570,761,289941
885,195721,884,391170
787,154395,786,309291
892,204181,891,397386
354,32318,353,62481
760,146869,759,288420
917,208905,916,419986
239,13607,238,28441
160,6290,159,12720
490,57030,489,119805
284,20456,283,40186
597,88082,596,177906
462,52564,461,106491
348,32000,347,60378
327,27728,326,53301
931,219643,930,432915
908,202082,907,411778
707,123540,706,249571
12,29,11,66
759,149773,758,287661
569,78694,568,161596
324,26352,323,52326
938,217612,937,439453
103,2637,102,5253
720,137347,719,258840
467,51793,466,108811
439,47603,438,96141
472,56856,471,111156
202,9643,201,20301
953,235042,952,453628
813,164492,812,330078
113,3587,112,6328
345,30756,344,59340
143,5393,142,10153
329,27108,328,53956
54,732,53,1431
481,57554,480,115440
458,50605,457,104653
742,143178,741,274911
466,54175,465,108345
142,5399,141,10011
972,235405,971,471906
473,59147,472,111628
32,214,31,496
874,188612,873,381501
936,227777,935,437580
409,42721,408,83436
269,19448,268,36046
894,202576,893,399171
420,46011,419,87990
552,75590,551,152076
723,130445,722,261003
740,144679,739,273430
377,33831,376,70876
69,1052,68,2346
454,52578,453,102831
447,49296,446,99681
191,9711,190,18145
396,39438,395,78210
937,218210,936,438516
676,115827,675,228150
526,68402,525,138075
538,76318,537,144453
281,19945,280,39340
222,12851,221,24531
580,82351,579,167910
697,125647,696,242556
155,5889,154,11935
659,104998,658,216811
572,82739,571,163306
304,23565,303,46056
500,63048,499,124750
365,34323,364,66430
506,65957,505,127765
311,25151,310,48205
907,200705,906,410871
789,148964,788,310866
565,80126,564,159330
