SIZE,AVERAGE,BEST,WORST
938,8091,4519,4775
868,7363,4100,4424
770,6413,3589,3857
709,5840,3220,3555
858,7290,4039,4375
181,1117,644,729
337,2419,1347,1511
160,967,560,624
588,4685,2604,2840
46,199,119,139
550,4334,2435,2591
239,1599,921,974
177,1096,627,710
354,2552,1431,1597
344,2496,1380,1548
275,1889,1080,1158
335,2390,1338,1500
264,1796,1044,1084
78,398,231,265
786,6601,3655,3967
99,545,312,352
965,8388,4697,4894
12,31,20,24
11,27,17,22
586,4652,2595,2827
517,3994,2314,2349
109,597,352,392
685,5595,3085,3426
710,5857,3225,3561
997,8667,4910,5033
757,6312,3502,3801
580,4604,2572,2784
737,6092,3380,3703
577,4584,2562,2761
327,2327,1303,1455
89,466,271,313
996,8667,4904,5028
569,4532,2520,2715
371,2714,1518,1680
959,8252,4663,4862
421,3145,1764,1934
505,3893,2250,2288
798,6725,3715,4039
800,6708,3728,4048
924,7960,4436,4704
871,7451,4117,4440
624,5009,2784,3056
419,3117,1755,1923
163,1009,568,643
110,617,357,395
276,1885,1084,1164
217,1422,808,889
916,7874,4388,4664
812,6846,3784,4124
59,275,167,182
817,6893,3812,4151
254,1734,1009,1021
969,8408,4721,4914
704,5796,3200,3520
377,2747,1553,1705
679,5540,3054,3391
26,93,57,67
701,5756,3178,3509
998,8680,4917,5037
178,1111,631,715
837,7092,3924,4259
729,6021,3329,3666
242,1613,937,985
474,3610,2055,2173
567,4486,2510,2703
28,106,64,72
218,1427,813,893
361,2629,1464,1634
282,1944,1107,1201
951,8209,4604,4833
715,5875,3250,3591
833,7039,3907,4232
640,5168,2880,3136
283,1957,1111,1207
895,7680,4279,4542
864,7341,4080,4400
516,4013,2312,2340
484,3692,2116,2212
583,4641,2583,2806
185,1147,664,745
368,2678,1504,1664
100,534,316,356
732,6058,3348,3680
522,4057,2329,2389
724,5950,3300,3640
952,8254,4612,4836
223,1460,841,910
789,6614,3668,3987
681,5564,3064,3403
71,343,208,232
214,1387,793,877
384,2838,1600,1728
155,939,535,604
325,2315,1295,1443
749,6210,3450,3765
944,8173,4560,4800
404,3001,1680,1848
760,6326,3524,3812
982,8540,4805,4973
463,3515,1993,2125
107,585,343,385
206,1322,757,841
32,122,80,80
342,2451,1369,1539
635,5125,2845,3116
244,1630,948,992
171,1069,599,684
187,1185,674,753
900,7720,4304,4572
689,5680,3108,3447
986,8591,4833,4989
93,497,288,328
769,6405,3586,3849
561,4413,2483,2664
10,21,15,19
258,1745,1027,1041
268,1838,1056,1112
502,3869,2229,2279
197,1257,719,798
971,8415,4733,4924
372,2705,1524,1684
267,1818,1052,1106
834,7041,3911,4239
60,284,172,184
777,6503,3615,3908
157,949,544,613
129,745,449,456
451,3408,1931,2067
434,3263,1833,1995
39,163,96,113
515,3996,2309,2332
453,3423,1940,2078
392,2896,1628,1780
560,4415,2480,2656
984,8548,4820,4980
609,4885,2707,2968
68,329,200,216
44,189,112,132
563,4437,2491,2678
490,3758,2151,2237
115,635,379,413
707,5803,3211,3542
437,3280,1849,2009
498,3860,2203,2265
663,5411,2974,3295
654,5306,2933,3237
487,3714,2133,2225
780,6533,3628,3928
228,1497,864,932
750,6207,3457,3769
449,3386,1923,2055
459,3479,1970,2108
273,1866,1074,1144
931,8010,4478,4739
537,4205,2383,2500
881,7523,4181,4486
16,43,32,32
743,6155,3413,3736
941,8107,4538,4789
506,3902,2257,2291
790,6617,3673,3993
891,7602,4248,4529
935,8068,4501,4760
408,3028,1700,1868
700,5745,3172,3504
240,1601,928,976
170,1053,595,679
949,8194,4590,4825
646,5246,2899,3183
756,6283,3496,3796
139,815,476,519
641,5206,2882,3145
874,7470,4135,4455
855,7275,4021,4360
904,7720,4324,4596
911,7810,4361,4636
645,5219,2895,3176
863,7330,4072,4397
350,2514,1411,1577
854,7234,4015,4355
108,607,348,388
556,4382,2460,2632
450,3392,1927,2061
386,2853,1605,1743
977,8476,4773,4950
374,2726,1535,1693
136,791,468,500
364,2643,1480,1648
836,7071,3920,4252
47,208,123,142
808,6787,3764,4100
376,2733,1548,1700
661,5397,2964,3283
412,3061,1720,1888
204,1306,748,832
543,4256,2410,2539
227,1498,859,928
893,7637,4263,4536
825,6984,3857,4194
991,8613,4871,5006
249,1670,977,1008
574,4540,2547,2743
742,6153,3407,3731
875,7475,4141,4460
102,550,323,365
358,2605,1449,1619
622,5023,2771,3047
210,1354,775,859
961,8329,4676,4871
262,1785,1037,1071
524,4072,2336,2404
599,4773,2654,2911
533,4180,2367,2472
168,1035,588,668
4,5,4,4
838,7103,3929,4265
432,3266,1824,1984
121,686,408,432
674,5488,3031,3359
410,3059,1709,1879
25,88,54,64
637,5135,2858,3125
822,6950,3839,4179
116,641,384,416
659,5360,2955,3270
781,6556,3632,3935
718,5917,3267,3607
394,2898,1635,1793
106,576,339,381
22,72,45,55
492,3801,2164,2244
56,259,156,172
213,1374,788,873
429,3252,1805,1973
575,4535,2553,2748
189,1200,685,760
452,3421,1936,2072
383,2825,1592,1726
280,1910,1100,1188
860,7283,4052,4384
814,6877,3795,4135
733,6045,3354,3685
879,7495,4168,4477
496,3816,2192,2256
542,4246,2405,2533
233,1545,888,953
464,3548,2000,2128
145,861,498,551
999,8701,4924,5041
407,3024,1694,1864
98,519,309,347
319,2258,1273,1405
520,4048,2324,2372
940,8105,4532,4784
366,2653,1491,1657
979,8488,4785,4960
649,5256,2911,3204
708,5793,3216,3548
302,2113,1189,1319
237,1557,909,968
380,2780,1572,1716
316,2240,1256,1392
721,5934,3284,3623
30,117,71,77
367,2692,1497,1661
29,108,67,75
341,2426,1364,1534
153,926,527,594
933,8063,4489,4750
719,5945,3273,3612
662,5346,2969,3289
642,5190,2885,3153
208,1351,768,848
990,8607,4863,5003
295,2064,1159,1279
947,8180,4577,4816
430,3228,1811,1977
