SIZE,AVERAGE,BEST,WORST
850,6692,7249,6070
554,4033,4371,3608
866,6826,7397,6208
887,7026,7602,6401
486,3418,3737,3092
145,768,862,678
157,871,956,740
427,2931,3214,2627
450,3132,3413,2804
424,2911,3185,2605
672,5067,5515,4563
649,4888,5272,4388
947,7591,8180,6909
58,243,265,198
126,646,719,556
581,4269,4632,3844
321,2080,2278,1842
67,283,322,241
304,1965,2129,1733
542,3936,4257,3540
928,7428,8003,6731
662,4964,5427,4482
844,6656,7189,5993
255,1559,1714,1393
87,398,456,341
296,1878,2065,1665
903,7130,7758,6523
237,1416,1572,1250
655,4929,5356,4437
607,4469,4894,4041
139,716,818,639
94,438,503,378
357,2380,2610,2102
884,6999,7571,6353
566,4124,4489,3738
274,1693,1877,1510
462,3186,3523,2926
740,5659,6171,5121
358,2374,2617,2116
753,5776,6304,5262
533,3814,4170,3446
800,6277,6755,5643
595,4373,4766,3931
78,347,395,300
156,848,949,733
174,971,1089,848
346,2274,2511,2032
428,2951,3225,2629
79,350,402,297
806,6289,6823,5672
106,525,585,448
849,6664,7238,6076
197,1127,1266,1004
832,6489,7071,5891
527,3781,4110,3403
762,5857,6391,5310
401,2719,2986,2424
499,3544,3850,3177
841,6631,7144,6000
998,8065,8697,7334
592,4354,4737,3915
276,1714,1891,1523
580,4250,4617,3811
728,5582,6061,5003
629,4694,5100,4216
702,5335,5809,4822
89,424,464,360
863,6817,7380,6179
356,2367,2603,2099
200,1165,1289,1007
528,3803,4121,3381
648,4846,5271,4371
840,6582,7139,5949
236,1398,1571,1259
364,2427,2669,2163
265,1634,1798,1448
37,126,144,102
918,7320,7911,6642
493,3463,3796,3126
847,6623,7222,6047
271,1695,1850,1509
722,5524,6003,4970
503,3553,3876,3197
964,7736,8361,7043
100,471,541,417
224,1338,1467,1185
651,4906,5306,4397
870,6912,7449,6214
976,7892,8479,7115
687,5180,5666,4707
207,1213,1344,1075
201,1179,1294,1024
510,3641,3941,3290
330,2183,2369,1912
888,7009,7601,6351
548,3959,4307,3553
688,5197,5669,4709
449,3124,3402,2788
954,7661,8255,6946
414,2865,3103,2552
852,6732,7269,6075
228,1357,1507,1203
9,15,18,12
24,74,79,57
72,302,351,261
727,5614,6050,5013
921,7347,7924,6698
652,4940,5321,4415
775,5980,6522,5409
540,3892,4231,3497
620,4588,5015,4137
745,5713,6228,5198
611,4482,4920,4071
952,7676,8227,6945
435,3015,3284,2687
249,1506,1662,1348
333,2193,2398,1930
677,5101,5568,4620
376,2523,2765,2243
107,517,592,449
824,6465,6973,5799
792,6119,6669,5533
288,1827,1997,1611
144,770,853,671
39,135,156,111
669,5017,5496,4580
387,2595,2866,2323
536,3845,4179,3469
520,3710,4023,3315
767,5941,6442,5345
225,1337,1478,1186
787,6119,6644,5513
368,2460,2691,2193
244,1470,1631,1303
184,1051,1161,921
880,6980,7537,6305
448,3099,3393,2797
653,4850,5332,4434
261,1621,1762,1418
46,171,197,140
335,2191,2416,1951
808,6322,6823,5689
932,7444,8047,6781
215,1270,1404,1127
605,4426,4866,4032
193,1104,1228,968
463,3231,3530,2919
829,6490,7040,5962
933,7470,8052,6814
948,7589,8197,6951
307,1985,2166,1751
176,963,1099,857
404,2748,3009,2441
857,6746,7304,6136
487,3421,3740,3077
177,993,1108,870
209,1230,1356,1082
634,4760,5147,4242
615,4555,4962,4105
366,2468,2691,2194
60,246,277,205
509,3602,3936,3244
472,3312,3599,2965
130,692,749,580
434,2987,3273,2692
955,7653,8270,6969
734,5607,6123,5086
522,3744,4057,3362
423,2900,3182,2595
488,3426,3747,3089
10,16,21,12
391,2662,2896,2351
257,1577,1722,1386
466,3265,3559,2942
665,5024,5434,4536
632,4714,5111,4231
897,7099,7708,6480
226,1338,1489,1190
822,6408,6977,5810
972,7836,8433,7111
477,3334,3654,3008
194,1121,1241,968
403,2751,2998,2425
69,300,332,246
970,7832,8419,7104
885,7009,7590,6394
992,8025,8631,7247
380,2534,2811,2283
552,4021,4339,3579
459,3226,3494,2871
756,5825,6329,5275
258,1570,1737,1392
282,1759,1947,1570
103,512,564,425
900,7195,7727,6515
111,566,618,475
597,4401,4786,3966
40,146,163,115
725,5547,6034,5022
980,7925,8519,7189
867,6869,7412,6211
284,1775,1961,1589
471,3299,3596,2955
27,83,92,67
546,3947,4291,3552
724,5543,6027,4971
944,7551,8159,6873
293,1860,2048,1634
759,5849,6358,5315
41,144,166,122
802,6249,6777,5638
316,2035,2247,1809
564,4117,4461,3687
831,6503,7062,5921
951,7569,8226,6925
306,1966,2161,1748
162,896,995,776
377,2518,2778,2256
812,6345,6883,5725
843,6670,7178,5999
204,1182,1317,1045
917,7316,7900,6688
370,2438,2721,2218
175,985,1098,869
749,5770,6266,5268
411,2813,3070,2493
919,7348,7916,6641
798,6226,6755,5622
576,4213,4579,3763
799,6230,6754,5623
573,4181,4554,3784
128,650,723,575
627,4670,5072,4219
74,321,369,276
7,8,10,5
658,4946,5385,4438
494,3525,3805,3162
591,4356,4734,3909
730,5589,6081,5032
805,6301,6802,5722
325,2105,2330,1878
590,4347,4721,3924
327,2122,2344,1891
545,3921,4270,3534
329,2143,2356,1900
516,3684,4003,3293
682,5163,5613,4626
937,7498,8082,6840
415,2836,3114,2533
340,2231,2463,1965
936,7464,8077,6781
295,1854,2064,1669
593,4392,4750,3934
712,5433,5903,4889
719,5495,5980,4965
22,60,71,48
416,2841,3111,2541
168,929,1041,811
71,313,348,257
457,3198,3476,2854
768,5960,6451,5341
813,6353,6888,5790
412,2817,3083,2493
961,7726,8328,7054
143,766,850,661
229,1366,1512,1220
644,4818,5243,4325
73,323,360,268
82,375,421,320
155,845,942,741
879,6960,7534,6303
254,1572,1705,1372
584,4258,4645,3835
750,5792,6277,5234
280,1747,1927,1545
399,2725,2972,2427
639,4739,5198,4307
738,5675,6165,5098
169,955,1046,830
733,5578,6114,5112
886,6984,7603,6368
142,749,841,644
636,4757,5163,4269
347,2292,2518,2035
422,2907,3175,2614
138,725,811,628
949,7613,8210,6952
268,1658,1821,1469
351,2318,2554,2067
86,389,449,338
1,0,0,0
960,7674,8315,6967
378,2552,2793,2272
596,4391,4775,3939
717,5449,5956,4970
1000,8064,8709,7317
312,2014,2205,1783
905,7212,7760,6572
159,879,974,765
837,6574,7124,5982
451,3149,3422,2807
694,5288,5737,4744
97,465,520,392
140,732,827,641
474,3353,3627,3002
317,2029,2260,1814
150,830,905,700
699,5307,5776,4789
489,3436,3758,3086
703,5335,5818,4831
135,710,786,619
239,1439,1592,1295
744,5699,6219,5149
188,1082,1195,943
766,5934,6429,5362
115,577,644,501
362,2413,2649,2144
721,5539,5994,4976
975,7855,8470,7135
468,3277,3573,2945
942,7578,8139,6884
352,2337,2553,2075
582,4262,4643,3842
899,7140,7722,6493
523,3743,4064,3373
59,233,272,205
524,3707,4073,3359
574,4189,4557,3784
109,526,602,468
30,94,107,78
641,4780,5212,4326
289,1841,2000,1610
180,1017,1135,883
541,3894,4250,3524
186,1053,1183,926
102,487,557,428
440,3014,3323,2725
292,1846,2039,1659
455,3181,3458,2827
990,8000,8609,7292
28,82,97,69
535,3865,4188,3445
