SIZE,AVERAGE,BEST,WORST
426,3778,12878,90525
261,2292,5400,33930
150,1032,1919,11175
551,5072,19226,151525
322,2797,7743,51681
417,4267,12918,86736
717,7520,34275,256686
681,6884,29625,231540
664,6611,27345,220116
142,971,1831,10011
660,6420,28433,217470
318,3047,7435,50403
713,7421,33811,253828
512,5479,17620,130816
686,6684,30231,234955
721,7240,35124,259560
534,4806,18034,142311
844,9569,44856,355746
662,6622,27348,218791
411,3616,12520,84255
88,483,814,3828
563,5540,20827,158203
825,10313,44123,339900
125,823,1573,7750
201,1414,3457,20100
204,1581,3554,20706
47,240,295,1081
585,5902,21919,170820
323,2763,7789,52003
839,9497,45104,351541
220,1843,4054,24090
537,5727,18528,143916
614,6442,24017,188191
659,6374,28370,216811
625,5716,25574,195000
408,3464,12420,83028
608,6404,22984,184528
391,3305,11182,76245
20,75,68,190
754,7962,35153,283881
506,4914,17150,127765
123,923,1576,7503
552,5156,19221,152076
48,275,300,1128
872,8768,46726,379756
113,759,1319,6328
775,7465,38382,299925
638,6092,26604,203203
803,8570,42810,322003
240,1911,5137,28680
516,5340,18001,132870
7,11,11,21
678,6187,29518,229503
854,8629,44793,364231
728,7111,35747,264628
568,6533,21124,161028
477,4842,17141,113526
463,4111,15868,106953
108,897,1178,5778
414,3928,12623,85491
17,62,52,136
697,8093,30505,242556
33,177,164,528
461,3989,15741,106030
103,643,1065,5253
6,9,8,15
816,8470,43657,332520
619,6276,24812,191271
375,3371,10005,70125
217,1888,3962,23436
737,7170,35877,271216
786,8126,40288,308505
210,1632,3793,21945
527,5671,17682,138601
37,166,186,666
55,285,379,1485
51,276,326,1275
57,300,411,1596
651,6223,27909,211575
184,1451,3001,16836
806,7980,43007,324415
672,6542,28054,225456
334,2892,8233,55611
504,4844,17093,126756
795,7553,41802,315615
706,6642,31834,248865
332,3119,8180,54946
494,5278,17026,121771
392,3299,11188,76636
865,8644,46189,373680
90,635,873,4005
395,3481,11571,77815
298,2716,6622,44253
615,5772,24150,188805
468,4322,16679,109278
68,425,555,2278
75,469,582,2775
689,6708,29804,237016
653,6976,28190,212878
388,3491,10849,75078
352,3868,8880,61776
402,4094,12172,80601
5,7,6,10
447,3955,13924,99681
171,1140,2604,14535
397,3756,11756,78606
312,2928,7264,48516
311,2789,7252,48205
443,3958,13741,97903
455,4705,15134,103285
439,4013,13616,96141
100,609,981,4950
479,4696,17280,114481
362,2898,10143,65341
866,9275,46393,374545
863,8801,45755,371953
355,3086,9309,62835
418,3954,13020,87153
372,3255,10096,69006
177,1286,2700,15576
269,2024,5595,36046
752,8800,34642,282376
650,6144,27717,210925
507,4886,17278,128271
216,1967,3867,23220
333,2889,8206,55278
14,37,35,91
441,3702,13657,97020
73,499,562,2628
671,6678,28040,224785
444,4106,13767,98346
688,6891,30386,236328
853,9190,44737,363378
699,6829,30678,243951
65,333,523,2080
9,26,18,36
328,2663,8001,53628
149,1057,1897,11026
406,3682,12331,82215
423,4512,13019,89253
93,667,892,4278
602,5700,22813,180901
239,1943,5128,28441
654,6505,28275,213531
241,1700,5147,28920
765,7997,37250,292230
122,904,1567,7381
324,2663,7830,52326
838,9040,44993,350703
855,8582,44925,365085
851,9341,44711,361675
15,37,40,105
226,1784,4317,25425
268,2028,5430,35778
336,2806,8301,56280
451,3952,14513,101475
53,260,354,1378
97,653,937,4656
69,460,547,2346
628,6055,25686,196878
802,8248,42727,321201
344,3307,8838,58996
857,9098,44987,366796
542,5571,18871,146611
286,2188,6229,40755
205,1553,3574,20910
457,4303,15556,104196
805,8249,42956,323610
833,8583,45041,346528
489,4097,17046,119316
856,10512,44950,365940
691,7142,29772,238395
289,2272,6166,41616
247,1869,5179,30381
876,9175,46690,383250
267,2244,5423,35511
292,2415,6188,42486
221,1768,4078,24310
572,5208,21506,163306
274,2518,5529,37401
464,3872,15884,107416
598,5538,22947,178503
98,588,941,4753
811,8952,43331,328455
283,2423,6079,39903
431,4108,13095,92665
209,1707,3743,21736
